Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Iceland,Arnaldur Indridason Jar City / Halldór Laxness The Atom Station / Ófeigur Sigurðsson / Gyrðir Eliasson Stone Tree / Auður A Ólafsdóttir The Greenhouse,Arnaldur Indridason Jar City,,,Halldór Laxness The Atom Station,,,Ófeigur Sigurðsson,,
India,Suketu Mehta Maximum City / Rohinton Mistry Family Matters; A Fine Balance / Premchand / Rahul Bhattacharya The Sly Company of People who Care / Amitav Ghosh River of Smoke / Tabish Khair The Thing about Thugs / Aman Sathi A Free Man,Suketu Mehta Maximum City,,,Rohinton Mistry Family Matters; A Fine Balance,,,Premchand,,
Indonesia,Yusuf Bilyarta Mangunwijaya (Romo Mangun) Burung-Burung Manyar; Rara Mendut; Durga/Umayi / Ayu Utami / Mochtar Lubis / Pramoedya Ananta Toer This Earth of Mankind / Dewi Lestari Supernova / Agustinus Wibowo Blanket of Dust (translation sought) / Andrea Hirata The Rainbow Troops / Eka Kurniawan Man Tiger,Yusuf Bilyarta Mangunwijaya (Romo Mangun) Burung-Burung Manyar; Rara Mendut; Durg,,,mayi,,,Ayu Utami,,
Iran,Akbar Golrang Parpin Flowers /Nasrin Alavi We are Iran / Shahrnush Parsipur Touba and the Meaning of Night / Mahmoud Dowlatabadi The Colonel (trans. Tom Patterdale) / Adnan-Ahmed / Fariba Hachtroudi The Man Who Snapped His Fingers,Akbar Golrang Parpin Flowers,,,asrin Alavi We are Iran,,,Shahrnush Parsipur Touba and the Meaning of Night,,
Iraq,Samuel Shimon An Iraqi in Paris / Ali Bader The Tobacco Keeper / Hassan Blasim The Madman of Freedom Square / Rodaan Al Galidi Thirsty River / Samira Al-Mana / Wafaa Abed Al Razzaq / A Alwan The Sheikh’s Detective / Fuad al-Takarli The Long Way Back,Samuel Shimon An Iraqi in Paris,,,Ali Bader The Tobacco Keeper,,,Hassan Blasim The Madman of Freedom Square,,
Ireland,James Joyce Ulysses / Maria Edgeworth Castle Rackrent / William Trevor / Sebastian Barry The Secret Scripture / Flann O’Brien The Third Policeman; At Swim–Two–Birds,James Joyce Ulysses,,,Maria Edgeworth Castle Rackrent,,,William Trevor,,
Israel,David Grossman Falling Out of Time; To the End of the Land; Be My Knife / Amos Oz A Tale of Love and Darkness (trans. Nicholas de Lange) / Savyon Liebrecht / AB Yehoshua / Ronit Matalon / Alex Epstein / Aharon Appelfeld Blooms of Darkness / Sara Shilo The Falafel King is Dead / Etgar Keret / Yehoshua Kenaz / Zeruya Shalev Pain,David Grossman Falling Out of Time; To the End of the Land; Be My Knife,,,Amos Oz A Tale of Love and Darkness (trans. Nicholas de Lange),,,Savyon Liebrecht,,
Italy,Roberto Saviano Zero Zero Zero; Gomorrah / Leonardo Sciascia The Day of the Owl (trans. Archibald Colquhoun) / Fabio Geda In the Sea there are Crocodiles (trans. Howard Curtis) / Elena Ferrante The Lost Daughter; The Days of Abandonment; My Brilliant Friend / Antonio Tabucchi Pereira Maintains / Diego Marani New Finnish Grammar / Alessandro Baricco Ocean Sea; Mr Gwyn / Giuseppe Tomasi di Lampedusa The Leopard / Alessandro Manzoni / Luigi Pirandello / Primo Levi / Italo Svevo / Dino Buzzati The Tartar Steppe / Elena Varvello Can You Hear Me?,Roberto Saviano Zero Zero Zero; Gomorrah,,,Leonardo Sciascia The Day of the Owl (trans. Archibald Colquhoun),,,Fabio Geda In the Sea there are Crocodiles (trans. Howard Curtis),,
Jamaica,Kei Miller / Lindsay Barrett / Margaret Cezair-Thompson The Pirate’s Daughter / Colin Channer / Brian Meeks Paint the Town Red / Patricia Powell / Victor Stafford Reid / Vanessa Spence / Marlon James The Book of Night Women; John Crow’s Devil,Kei Miller,,,Lindsay Barrett,,,Margaret Cezair-Thompson The Pirate’s Daughter,,
Japan,"Haruki Murakami Kafka on the Shore; 1Q84 / Natsume S?seki The Miner; I am a Cat/ Michitsuna no Haha (Michitsuna’s mother) The Kagero Diary (trans. Sonja Arntzen) / Yukio Mishima Death in Midsummer (trans. Seidensticker, Keene, Morris, Sargent) / Hiromi Kawakami Manazuru / Shiba Ryotaro / Yoko Ogawa Hotel Iris / Yoriko Shono / Yumiko Kurahashi / Yoko Tawada / Yasunari Kawabata Snow Country",Haruki Murakami Kafka on the Shore; 1Q84,,,Natsume S?seki The Miner; I am a Ca,,,Michitsuna no Haha (Michitsuna’s mother) The Kagero Diary (trans. Sonja Arntzen),,
Jordan,Ibrahim Nasrallah Time of White Horses / Abdulrahman Munif Cities of Salt,Ibrahim Nasrallah Time of White Horses,,,Abdulrahman Munif Cities of Sal,,,None,,
Kazakstan,"Rollan Seisenbayev The Day the World Collapsed / Mukhamet Shayakhmetov The Silent Steppe: The Story of a Kazakh Nomad Under Stalin / Nursultan Nazarbayev My Life, My Times and the Future / Ilyas Esenberlin Nomads / Mukhtar Auezov Abai (translation sought)",Rollan Seisenbayev The Day the World Collapsed,,,Mukhamet Shayakhmetov The Silent Steppe: The Story of a Kazakh Nomad Under Stalin,,,"Nursultan Nazarbayev My Life, My Times and the Future",,
Kenya,"Binyavanga Wainaina One Day I Will Write About This Place / Ng?g? wa Thiong’o A Grain of Wheat; Wizard of the Crow / Philo Ikonya Kenya, Will You Marry Me? / NK Read Children of Saba / Yvonne Adhiambo Owuor Dust",Binyavanga Wainaina One Day I Will Write About This Place,,,Ng?g? wa Thiong’o A Grain of Wheat; Wizard of the Crow,,,"Philo Ikonya Kenya, Will You Marry Me?",,
Kiribati,Teweiariki Teaero Waa in Storms,Teweiariki Teaero Waa in Storm,,,None,,,None,,
Kuwait,"Saif Marzooq al-Shamlan Pearling in the Arabian Gulf / Jehan S Rajab Invasion Kuwait / Haya al-Mughni Women in Kuwait / Danderma The Chronicles of Dathra, a Dowdy Girl from Kuwait",Saif Marzooq al-Shamlan Pearling in the Arabian Gulf,,,Jehan S Rajab Invasion Kuwait,,,Haya al-Mughni Women in Kuwait,,
Kyrgyzstan,Chinghiz Aitmatov Jamilia; The Place of the Skull; Farewell Gul’sary; The Day Lasts More than a Hundred Years; Short Novels; White Steamship; Tales of the Mountains and Steppes; Cranes Fly Early;Time to Speak; Mother Earth and Other Stories,Chinghiz Aitmatov Jamilia; The Place of the Skull; Farewell Gul’sary; The Day Lasts More than a Hundred Years; Short Novels; White Steamship; Tales of the Mountains and Steppes; Cranes Fly Early;Time to Speak; Mother Earth and Other Storie,,,None,,,None,,
Laos,Outhine Bounyavong Mother’s Beloved,Outhine Bounyavong Mother’s Belove,,,None,,,None,,
