Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Dominica,Phyllis Shand Allfrey The Orchid House / Elma Napier Black and White Sands / Jean Rhys / Pupils of Atkinson School The Snake King of the Kalinago / Alick Lazare Pharcel / Various Home Again / Christborne Shillingford Most Wanted: street stories from the Caribbean,Phyllis Shand Allfrey The Orchid House,,,Elma Napier Black and White Sands,,,Jean Rhys,,
Dominican Republic,Juan Bosch / Arambilet Neguri’s Secret / Junot Diaz The Brief Wonderous Life of Oscar Wao / Pedro Mir When they Loved the Communal Land / Julia Alvarez / Rita Indiana Tentacle,Juan Bosch,,,Arambilet Neguri’s Secret,,,Junot Diaz The Brief Wonderous Life of Oscar Wao,,
East Timor,Timor Luis Cardoso The Crossing,Timor Luis Cardoso The Crossin,,,None,,,None,,
Ecuador,Jorge Icaza Huasipungo,Jorge Icaza Huasipung,,,None,,,None,,
Egypt,"Ahdaf Soueif The Map of Love; Cairo: My City, Our Revolution / Sonallah Ibrahim Stealth / Mohamed Mansi Qandil Moon Over Samarqand / Waguih Ghali Beer in the Snooker Club / Naguib Mahfouz Midaq Alley; The Thief and the Dogs; Miramar; The Final Hour/ Alaa Al Aswany The Yacoubian Building / Radwa Ashour / Nawal El Saadawi / May Telmissany Dunyazad / Salwa Bakr / ed. Marilyn Booth My Grandmother’s Cactus / Gamal al-Ghitani Zayni Barakat / Yusef Zeidan Azazil / Radwa Ashour Granada; Spectres / Ibrahim Abdel Meguid No One Sleeps in Alexandria / Bahar Tahir / Muhammad Bisati / Basma Abdel Aziz The Queue",Ahdaf Soueif The Map of Love,,,Sonallah Ibrahim Stealth,,,Mohamed Mansi Qandil Moon Over Samarqand,,
El Salvador,Horacio Castellanos Moya Senselessness,Horacio Castellanos Moya Senselessnes,,,None,,,None,,
Equatorial Guinea,Juan Tomás Ávila Laurel By Night the Mountain Burns / Donato Ndongo Shadows of your Black Memory / Maria Nsue Angue Ekomo (translation sought) / TrifoniaMelibea Obono La Bastarda,Juan Tomás Ávila Laurel By Night the Mountain Burns,,,Donato Ndongo Shadows of your Black Memory,,,Maria Nsue Angue Ekomo (translation sought),,
Eritrea,Senait Mehari Heart of Fire / Sulaiman Addonia The Consequences of Love / Dawit Gebremichael Habte Gratitude in Low Voices,Senait Mehari Heart of Fire,,,Sulaiman Addonia The Consequences of Love,,,Dawit Gebremichael Habte Gratitude in Low Voice,,
Estonia,Jaan Kross Professor Martens’ Departure; Treading Air / Viivi Luik The Beauty of History,Jaan Kross Professor Martens’ Departure; Treading Air,,,Viivi Luik The Beauty of Histor,,,None,,
Ethiopia,Maaza Mengiste Beneath the Lion’s Gaze / Dinaw Mengestu Children of the Revolution / Abraham Verghese Cutting for Stone,Maaza Mengiste Beneath the Lion’s Gaze,,,Dinaw Mengestu Children of the Revolution,,,Abraham Verghese Cutting for Ston,,
